deck,category,question,option_a,option_b,option_c,option_d,answer,note,source
"Star Wars 4 · Deep cuts","Terms & equipment","What distinguishes Maul's lightsaber in The Phantom Menace?","A purple blade","A crossguard","Two blades extending from one hilt","A white blade","Two blades extending from one hilt","Maul's double-bladed weapon is also called a saberstaff.","https://www.starwars.com/databank/darth-maul"
"Star Wars 4 · Deep cuts","Terms & equipment","What gives Kylo Ren's lightsaber its crossguard shape?","A shield projector","A pair of blaster barrels","Two metal hooks","Two smaller side blades","Two smaller side blades","Side vents form the small quillon blades on Kylo's unstable saber.","https://www.starwars.com/databank/kylo-rens-lightsaber"
"Star Wars 4 · Deep cuts","Terms & equipment","What is a GNK or ""gonk"" droid's main job?","Providing portable power","Translating languages","Treating injuries","Piloting starfighters","Providing portable power","GNK droids are walking power generators.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 4 · Deep cuts","Terms & equipment","What is the holographic creature board game played aboard the Falcon called?","Sabacc","Dejarik","Pazaak","Podracing","Dejarik","Dejarik uses holographic creatures; sabacc is a card game.","https://www.starwars.com/databank/dejarik"
"Star Wars 4 · Deep cuts","Terms & equipment","Which event is the reference point for dates labeled BBY and ABY?","The Battle of Endor","The Battle of Naboo","The Battle of Yavin","Order 66","The Battle of Yavin","BBY means Before the Battle of Yavin; ABY means After the Battle of Yavin.","https://www.starwars.com/andor-s1-e1-trivia-gallery"
"Star Wars 4 · Deep cuts","Terms & equipment","In A New Hope, C-3PO claims fluency in over how many forms of communication?","Six hundred","Six thousand","Sixty thousand","Six million","Six million","C-3PO boasts that he is fluent in over six million forms of communication.","https://www.starwars.com/databank/c-3po"
"Star Wars 4 · Deep cuts","Names to remember","What is Grand Moff Tarkin's first name?","Wilhuff","Orson","Wullf","Armitage","Wilhuff","Wilhuff Tarkin commands the first Death Star.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 4 · Deep cuts","Names to remember","Which Rebel pilot uses the call sign Red Six at Yavin?","Biggs Darklighter","Jek Porkins","Wedge Antilles","Garven Dreis","Jek Porkins","Porkins is Red Six; Luke is Red Five.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 4 · Deep cuts","Names to remember","Who is Luke's snowspeeder gunner during the Battle of Hoth?","Wes Janson","Zev Senesca","Dak Ralter","Hobbie Klivian","Dak Ralter","Dak is killed during the attack; Wes Janson is Wedge's gunner.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 4 · Deep cuts","Names to remember","Which Star Destroyer captures Leia's ship above Tatooine in A New Hope?","Executor","Chimaera","Ravager","Devastator","Devastator","Devastator is the pursuing Imperial-class Star Destroyer in the opening scene.","https://www.starwars.com/news/star-wars-trivia-tuesday-answers"
"Star Wars 4 · Deep cuts","Names to remember","What huge tracked vehicle do Jawas use to transport salvaged droids?","Sandcrawler","Sail barge","AT-TE","Conveyex","Sandcrawler","Jawas trade droids and scrap from their sandcrawlers.","https://www.starwars.com/databank/sandcrawler"
"Star Wars 4 · Deep cuts","Names to remember","Which bounty hunter does Leia impersonate to infiltrate Jabba's palace?","Zuckuss","Boushh","Dengar","Aurra Sing","Boushh","Leia wears Boushh's helmet and brings in Chewbacca as a supposed captive.","https://www.starwars.com/news/star-wars-princess-leia-boushh-helmet-reveal"
"Star Wars 4 · Deep cuts","Names to remember","Which couple raises Luke on their moisture farm?","Bail and Breha Organa","Clem and Maarva Andor","Owen and Beru Lars","Han and Leia Solo","Owen and Beru Lars","Luke knows Owen and Beru as his uncle and aunt.","https://www.starwars.com/databank/luke-skywalker"
"Star Wars 4 · Deep cuts","Names to remember","Which Ewok first befriends Leia after her speeder-bike chase?","Logray","Chief Chirpa","Paploo","Wicket","Wicket","Wicket W. Warrick approaches Leia and helps her evade Imperial scouts.","https://www.starwars.com/databank/wicket-w-warrick"
"Star Wars 4 · Deep cuts","Behind the camera","Who directs The Empire Strikes Back?","Irvin Kershner","George Lucas","Richard Marquand","Ron Howard","Irvin Kershner","Kershner directs Episode V; Lucas provides the story and produces.","https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back"
"Star Wars 4 · Deep cuts","Behind the camera","Who directs Return of the Jedi?","Irvin Kershner","Richard Marquand","Lawrence Kasdan","Steven Spielberg","Richard Marquand","Marquand directs the original trilogy's final film.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 4 · Deep cuts","Behind the camera","Who composes the score for Rogue One?","John Williams","John Powell","Michael Giacchino","Ludwig Göransson","Michael Giacchino","Giacchino scores Rogue One while using some established Star Wars musical themes.","https://www.starwars.com/news/john-williams-birthday"
"Star Wars 4 · Deep cuts","Behind the camera","Who composes the score for Solo: A Star Wars Story?","Michael Giacchino","Kevin Kiner","Ludwig Göransson","John Powell","John Powell","Powell writes the score; John Williams contributes a new Han Solo theme.","https://www.starwars.com/news/john-williams-birthday"
"Star Wars 4 · Deep cuts","Behind the camera","Who composes The Mandalorian's main theme and season 1 score?","Ludwig Göransson","John Williams","Nicholas Britell","Kevin Kiner","Ludwig Göransson","Göransson creates the series' distinctive recorder-led sound.","https://www.starwars.com/news/john-williams-birthday"
"Star Wars 4 · Deep cuts","Behind the camera","Which sound designer creates many iconic Star Wars sounds, including Vader's breathing?","Ralph McQuarrie","Ben Burtt","John Dykstra","Dennis Muren","Ben Burtt","Burtt builds the galaxy's soundscape from recordings of real machines, animals, and other sources.","https://www.starwars.com/news/empire-at-40-ben-burtt-interview"
"Star Wars 4 · Deep cuts","Behind the camera","Who creates The Mandalorian television series?","Tony Gilroy","George Lucas","Jon Favreau","Rian Johnson","Jon Favreau","Favreau creates the series and develops it with fellow executive producer Dave Filoni.","https://www.starwars.com/news/jon-favreau-dave-filoni-interview-the-mandalorian-season-3"
"Star Wars 4 · Deep cuts","Behind the camera","Which concept artist helps define the original designs of Vader and C-3PO?","Ben Burtt","John Williams","Lawrence Kasdan","Ralph McQuarrie","Ralph McQuarrie","McQuarrie's concept paintings shape the look of the original trilogy and later projects.","https://www.starwars.com/news/celebrating-a-master-inside-star-wars-art-ralph-mcquarrie"
"Star Wars 4 · Deep cuts","Actors & voices","Who plays Qui-Gon Jinn in The Phantom Menace?","Liam Neeson","Ewan McGregor","Alec Guinness","Christopher Lee","Liam Neeson","Neeson plays Qui-Gon; McGregor plays his apprentice Obi-Wan.","https://www.starwars.com/films/star-wars-episode-i-the-phantom-menace"
"Star Wars 4 · Deep cuts","Actors & voices","Who plays Count Dooku in Episodes II and III?","Peter Cushing","Christopher Lee","Ian McDiarmid","Terence Stamp","Christopher Lee","Christopher Lee plays Dooku; his fellow horror-film star Peter Cushing plays Tarkin.","https://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones"
"Star Wars 4 · Deep cuts","Actors & voices","Which actor plays Palpatine in Return of the Jedi and the prequel trilogy?","Ian McKellen","Christopher Lee","Ian McDiarmid","Max von Sydow","Ian McDiarmid","McDiarmid plays both the public politician and the Sith Lord behind the mask.","https://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith"
"Star Wars 4 · Deep cuts","Actors & voices","Which actor performs C-3PO in the original trilogy?","Kenny Baker","Peter Mayhew","Warwick Davis","Anthony Daniels","Anthony Daniels","Daniels provides C-3PO's voice and the performance inside the golden costume.","https://www.starwars.com/films/star-wars-episode-iv-a-new-hope"
"Star Wars 4 · Deep cuts","Actors & voices","Who provides Yoda's voice in The Empire Strikes Back?","Frank Oz","Jim Henson","Warwick Davis","Tom Kane","Frank Oz","Oz voices and puppeteers Yoda; Tom Kane voices Yoda in The Clone Wars.","https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back"
"Star Wars 4 · Deep cuts","Actors & voices","Which actor plays both Snoke and Andor's Kino Loy?","Stellan Skarsgård","Andy Serkis","Forest Whitaker","Ben Mendelsohn","Andy Serkis","Serkis plays both characters, but Kino and Snoke are different people.","https://www.starwars.com/news/andy-serkis-andor-interview"
"Star Wars 4 · Deep cuts","Actors & voices","Which actor is credited as Din Djarin in The Mandalorian?","Diego Luna","Oscar Isaac","Pedro Pascal","Temuera Morrison","Pedro Pascal","Pascal plays Din; stunt performers also contribute the armored physical performance.","https://www.starwars.com/series/the-mandalorian"
"Star Wars 4 · Deep cuts","Actors & voices","Who voices Ahsoka in The Clone Wars and Rebels?","Rosario Dawson","Ashley Johnson","Vanessa Marshall","Ashley Eckstein","Ashley Eckstein","Eckstein voices animated Ahsoka; Dawson plays her in live action.","https://www.starwars.com/news/contributor/aeckstein"
"Star Wars 4 · Deep cuts","Filming & releases","Which fake production title conceals the filming of Return of the Jedi?","Blue Harvest","Red Dawn","Dune Sea","Black Sun","Blue Harvest","Blue Harvest is a cover title used during production.","https://www.starwars.com/news/may-the-4th-be-with-you-cultural-history"
"Star Wars 4 · Deep cuts","Filming & releases","What announced title preceded Return of the Jedi before ""Return"" replaced one word?","Rise of the Jedi","Revenge of the Jedi","Rebirth of the Jedi","Rescue of the Jedi","Revenge of the Jedi","Revenge of the Jedi even appeared in early promotional material.","https://www.starwars.com/news/may-the-4th-be-with-you-cultural-history"
"Star Wars 4 · Deep cuts","Filming & releases","Which country supplies the jungle-temple location shots for Yavin 4 in A New Hope?","Mexico","Peru","Guatemala","Tunisia","Guatemala","The Mayan ruins at Tikal in Guatemala stand in for the Rebel base.","https://www.starwars.com/news/star-wars-trivia"
"Star Wars 4 · Deep cuts","Filming & releases","In which country is Finse, the snowy location used for Hoth?","Iceland","Canada","Sweden","Norway","Norway","Finse, Norway provides the real snow and ice for Hoth location filming.","https://www.starwars.com/news/hoth-behind-the-scenes"
"Star Wars 4 · Deep cuts","Filming & releases","Which North African country hosts the Mos Espa set for The Phantom Menace?","Tunisia","Morocco","Egypt","Algeria","Tunisia","The crew films Tatooine scenes in Tunisia and rebuilds after a destructive storm.","https://www.starwars.com/video/episode-i-surviving-tatooine"
"Star Wars 4 · Deep cuts","Filming & releases","In which year does The Phantom Menace first release?","1997","1999","2002","2005","1999","The prequel releases are 1999, 2002, and 2005.","https://www.starwars.com/films/star-wars-episode-i-the-phantom-menace"
"Star Wars 4 · Deep cuts","Filming & releases","In which year does The Empire Strikes Back first release?","1977","1979","1980","1983","1980","The original trilogy releases are 1977, 1980, and 1983.","https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back"
"Star Wars 4 · Deep cuts","Filming & releases","In which year does the original trilogy return to cinemas as the Special Editions?","1987","1993","1995","1997","1997","The 1997 Special Editions mark twenty years since the first film.","https://www.starwars.com/video/special-edition-trilogy-trailer"
"Star Wars 4 · Deep cuts","Games & books","Which Jedi is the protagonist of Jedi: Fallen Order and Jedi: Survivor?","Cal Kestis","Kyle Katarn","Galen Marek","Ezra Bridger","Cal Kestis","Cal survives Order 66 as Jaro Tapal's Padawan and later fights the Empire.","https://www.starwars.com/databank/cal-kestis"
"Star Wars 4 · Deep cuts","Games & books","Which small exploration droid accompanies Cal Kestis?","D-O","BD-1","T3-M4","HK-47","BD-1","BD-1 helps Cal explore, scan his surroundings, and survive dangerous environments.","https://www.starwars.com/databank/greez"
"Star Wars 4 · Deep cuts","Games & books","Who is the four-armed captain of the Stinger Mantis?","Cere Junda","Eno Cordova","Greez Dritus","Jaro Tapal","Greez Dritus","Greez is a Latero pilot and an enthusiastic cook.","https://www.starwars.com/databank/greez"
"Star Wars 4 · Deep cuts","Games & books","What is Cal's ability to sense an object's past called?","Battle meditation","Force projection","Telekinesis","Psychometry","Psychometry","Psychometry lets Cal experience Force echoes connected to objects.","https://www.starwars.com/databank/cal-kestis"
"Star Wars 4 · Deep cuts","Games & books","Who writes the 1991 novel Heir to the Empire, which introduces Thrawn?","Timothy Zahn","James Luceno","Claudia Gray","Drew Karpyshyn","Timothy Zahn","Zahn creates Thrawn in the original book trilogy, now classified as Legends.","https://www.starwars.com/news/from-the-pages-of-star-wars-insider-timothy-zahn-talks-30-years-of-thrawn"
"Star Wars 4 · Deep cuts","Games & books","Which banner is applied to much of the older Expanded Universe after the 2014 continuity announcement?","Infinities","Legends","Visions","The High Republic","Legends","Legends preserves the older continuity separately; characters can still be reintroduced into canon.","https://www.starwars.com/news/the-legendary-star-wars-expanded-universe-turns-a-new-page"
"Star Wars 4 · Deep cuts","Games & books","Which Sith antagonist is central to The Old Republic's Legacy of the Sith expansion?","Darth Bane","Darth Nihilus","Darth Malgus","Darth Maul","Darth Malgus","Legacy of the Sith follows the plans of the renegade Darth Malgus in the game's Legends setting.","https://www.starwars.com/news/star-wars-the-old-republic-legacy-of-the-sith"
